[15:49:40] [main/INFO]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 37.1.1, --fml.mcVersion, 1.17.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20210706.113038, nogui]
[15:49:40] [main/INFO]: ModLauncher 9.0.7+91+master.8569cdf starting: java version 17.0.14 by Ubuntu
[15:49:40] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.4 Source=union:/workspaces/server-factory/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.4/mixin-0.8.4.jar%2319! Service=ModLauncher Env=SERVER
[15:49:40] [main/INFO]: Found mod file alexsmobs-1.14.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file BiomesOPlenty-1.17.1-14.0.0.43-universal.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file citadel-1.9.5-1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file collective-1.17.1-4.25.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file controllable-0.15.0-1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file CreativeCore_v2.3.0_mc1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file dungeons_enhanced-1.17.1-2.0.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file elevatorid-1.17.1-1.8.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file EpicFight-17.1.13-beta.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file ExtraGems-1.17-(v.2.0.5).jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file goblintraders-1.6.3-1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file gravestone-1.17.1-1.0.4.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file Jade-1.17.1-3.3.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file mcw-bridges-2.0.3-mc1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file mcw-roofs-2.1.1-mc1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file musketmod-1.17.1-forge-1.4.3.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file Paraglider-1.17.1-1.4.0.5.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file PlayerRevive_v2.0.0-pre04_mc1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file reap-1.17.1-1.0.0.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file stackrefill_1.17.1-2.0.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file structure_gel-1.17.1-2.0.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file TravelersBackpack-1.17.1-6.0.43.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file XaerosWorldMap_1.37.8_Forge_1.17.1.jar of type MOD with locator {mods folder locator at /workspaces/server-factory/servidor_minecraft/mods}
[15:49:40] [main/INFO]: Found mod file fmlcore-1.17.1-37.1.1.jar of type LIBRARY with locator net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6aecbb8d
[15:49:40] [main/INFO]: Found mod file javafmllanguage-1.17.1-37.1.1.jar of type LANGPROVIDER with locator net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6aecbb8d
[15:49:40] [main/INFO]: Found mod file mclanguage-1.17.1-37.1.1.jar of type LANGPROVIDER with locator net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6aecbb8d
[15:49:40] [main/INFO]: Found mod file server-1.17.1-20210706.113038-srg.jar of type MOD with locator net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6aecbb8d
[15:49:40] [main/INFO]: Found mod file forge-1.17.1-37.1.1-universal.jar of type MOD with locator net.minecraftforge.fml.loading.moddiscovery.MinecraftLocator@6aecbb8d
[15:49:42] [main/INFO]: Successfully loaded Mixin Connector [tictim.paraglider.MixinConnector]
[15:49:42] [main/INFO]: Launching target 'forgeserver' with arguments [nogui]
[15:49:45] [main/WARN]: @Final field f_31427_:[I in epicfight.mixins.json:MixinWitherBoss should be final
[15:49:45] [main/WARN]: @Final field f_31428_:[I in epicfight.mixins.json:MixinWitherBoss should be final
[15:49:49] [modloading-worker-0/INFO]: Configuration has been loaded
[15:49:49] [modloading-worker-0/INFO]: Forge mod loading, version 37.1.1, for MC 1.17.1 with MCP 20210706.113038
[15:49:49] [modloading-worker-0/INFO]: MinecraftForge v37.1.1 Initialized
[15:49:49] [modloading-worker-0/INFO]: Load Configuration File
[15:49:49] [modloading-worker-0/INFO]: Load Configuration File
[15:49:53] [main/INFO]: Potentially Dangerous alternative prefix `minecraft` for name `milk`, expected `forge`. This could be a intended override, but in most cases indicates a broken mod.
[15:49:53] [main/INFO]: Potentially Dangerous alternative prefix `minecraft` for name `flowing_milk`, expected `forge`. This could be a intended override, but in most cases indicates a broken mod.
[15:49:54] [main/INFO]: Dungeons Enhanced structures loaded
[15:49:54] [main/WARN]: Configuration file /workspaces/server-factory/servidor_minecraft/config/goblintraders-common.toml is not correct. Correcting
[15:49:54] [main/WARN]: Incorrect key common was corrected from null to its default, SimpleCommentedConfig:{}. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader was corrected from null to its default, SimpleCommentedConfig:{}. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader.traderSpawnChance was corrected from null to its default, 25. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader.traderSpawnDelay was corrected from null to its default, 24000. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader.traderMinSpawnLevel was corrected from null to its default, 0. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader.traderMaxSpawnLevel was corrected from null to its default, 63. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader.restockDelay was corrected from null to its default, 48000. 
[15:49:54] [main/WARN]: Incorrect key common.goblin_trader.canAttackBack was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader was corrected from null to its default, SimpleCommentedConfig:{}. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader.traderSpawnChance was corrected from null to its default, 25. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader.traderSpawnDelay was corrected from null to its default, 24000. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader.traderMinSpawnLevel was corrected from null to its default, 0. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader.traderMaxSpawnLevel was corrected from null to its default, 128. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader.restockDelay was corrected from null to its default, 48000. 
[15:49:54] [main/WARN]: Incorrect key common.vein_goblin_trader.canAttackBack was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key common.preventDespawnIfNamed was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Configuration file /workspaces/server-factory/servidor_minecraft/config/collective-common.toml is not correct. Correcting
[15:49:54] [main/WARN]: Incorrect key Collective was corrected from null to its default, SimpleCommentedConfig:{}. 
[15:49:54] [main/WARN]: Incorrect key Collective.transferItemsBetweenReplacedEntities was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key Collective.loopsAmountUsedToGetAllEntityDrops was corrected from null to its default, 100. 
[15:49:54] [main/WARN]: Incorrect key Collective.findABlockcheckAroundEntitiesDelayMs was corrected from null to its default, 30000. 
[15:49:54] [main/WARN]: Incorrect key Collective.enableAntiRepostingCheck was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key Collective.enablePatronPets was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Configuration file /workspaces/server-factory/servidor_minecraft/config/citadel-common.toml is not correct. Correcting
[15:49:54] [main/WARN]: Incorrect key general was corrected from null to its default, SimpleCommentedConfig:{}. 
[15:49:54] [main/WARN]: Incorrect key general.Track Entities was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.chunkGenSpawnModifier was corrected from null to its default, 1.0. 
[15:49:54] [main/WARN]: Configuration file /workspaces/server-factory/servidor_minecraft/config/alexsmobs.toml is not correct. Correcting
[15:49:54] [main/WARN]: Incorrect key general was corrected from null to its default, SimpleCommentedConfig:{}. 
[15:49:54] [main/WARN]: Incorrect key general.giveBookOnStartup was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.lavaVisionOpacity was corrected from null to its default, 0.65. 
[15:49:54] [main/WARN]: Incorrect key general.shadersCompat was corrected from null to its default, false. 
[15:49:54] [main/WARN]: Incorrect key general.bananasDropFromLeaves was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.bananaChance was corrected from null to its default, 200. 
[15:49:54] [main/WARN]: Incorrect key general.spidersAttackFlies was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.wolvesAttackMoose was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.polarBearsAttackSeals was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.lavaBottleEnabled was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.neutralBoneSerpents was corrected from null to its default, false. 
[15:49:54] [main/WARN]: Incorrect key general.caveCentipedeSpawnHeight was corrected from null to its default, 30. 
[15:49:54] [main/WARN]: Incorrect key general.blobfishSpawnHeight was corrected from null to its default, 38. 
[15:49:54] [main/WARN]: Incorrect key general.mimicubeSpawnInEndCity was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.mimicreamRepair was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.mimicreamBlacklist was corrected from null to its default, [alexsmobs:blood_sprayer, alexsmobs:hemolymph_blaster]. 
[15:49:54] [main/WARN]: Incorrect key general.raccoonStealFromChests was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.fishOilMeme was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.soulVultureSpawnOnFossil was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.acaciaBlossomsDropFromLeaves was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.wanderingTraderOffers was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.mungusBiomeTransformationType was corrected from null to its default, 2. 
[15:49:54] [main/WARN]: Incorrect key general.mungusBiomeMatches was corrected from null to its default, [minecraft:red_mushroom|minecraft:mushroom_fields|minecraft:mycelium, minecraft:brown_mushroom|minecraft:mushroom_fields|minecraft:mycelium, minecraft:crimson_fungus|minecraft:crimson_forest|minecraft:crimson_nylium, minecraft:warped_fungus|minecraft:warped_forest|minecraft:warped_nylium]. 
[15:49:54] [main/WARN]: Incorrect key general.limitGusterSpawnsToWeather was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.warpedMoscoTransformation was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.warpedMoscoMobTriggers was corrected from null to its default, []. 
[15:49:54] [main/WARN]: Incorrect key general.straddleboardEnchants was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.emuTargetSkeletons was corrected from null to its default, true. 
[15:49:54] [main/WARN]: Incorrect key general.emuPantsDodgeChance was corrected from null to its default, 0.45. 
[15:49:54] [main/WARN]: Incorrect key general.cachalotVolume was corrected from null to its default, 3.0. 
[15:49:54] [main/WARN]: Incorrect key general.leafcutterAntFungusGrowChance was corrected from null to its default, 0.3. 
[15:49:54] [main/WARN]: Incorrect key general.leafcutterAntRepopulateFeedings was corrected from null to its default, 25. 
[15:49:54] [main/WARN]: Incorrect key general.leafcutterAntColonySize was corrected from null to its default, 20. 
